@relation 'MathOverflow_Data-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,6,7,8,9,5-weka.filters.supervised.instance.SpreadSubsample-M10.0-X0.0-S1'

@attribute 'Adamic Adar' numeric
@attribute 'Association Strength' numeric
@attribute 'Common Neighbors' numeric
@attribute Jaccard numeric
@attribute 'Min Overlap' numeric
@attribute NMeasure numeric
@attribute 'Resource Allocation' numeric
@attribute 'Rooted PageRank' numeric
@attribute Labels {'Not Form',Form}

@data
0.149823,0.015385,1,0.058824,0.2,0.101535,0.001263,0.000184,'Not Form'
0.846309,0.000565,4,0.022099,0.074074,0.039923,0.050445,0.001024,'Not Form'
3.303593,0.0013,18,0.072581,0.253521,0.122665,0.085398,0.001724,'Not Form'
0.167114,0.012821,1,0.012821,1,0.018129,0.002519,0.002189,'Not Form'
0.412113,0.003401,2,0.037037,0.142857,0.063888,0.022689,0.000697,'Not Form'
0.167397,0.002874,1,0.015873,0.166667,0.024254,0.002545,0.000607,'Not Form'
0.383368,0.002381,2,0.011696,0.4,0.016828,0.011608,0.001653,'Not Form'
0.222785,0.166667,1,0.25,0.5,0.392232,0.011236,0.002528,'Not Form'
0.183164,0.000658,1,0.005076,0.125,0.007437,0.004255,0.003218,'Not Form'
0.341086,0.001281,2,0.008772,0.285714,0.012677,0.007189,0.001766,'Not Form'
0.186686,0.5,1,0.5,1,0.632456,0.004717,0.001503,'Not Form'
0.592061,0.000959,3,0.015152,0.176471,0.02296,0.023408,0.001675,'Not Form'
0.175118,0.001961,1,0.003906,0.5,0.005546,0.003311,0.006816,'Not Form'
0.214871,0.125,1,0.125,1,0.175412,0.009524,0.002687,'Not Form'
0.335163,0.002963,2,0.04,0.08,0.076866,0.005143,0.000496,'Not Form'
0.189098,0.016667,1,0.055556,0.25,0.091098,0.005051,0.000885,'Not Form'
0.203253,0.011111,1,0.05,0.166667,0.087538,0.007299,0.000471,'Not Form'
0.185248,0.014706,1,0.05,0.25,0.080978,0.004525,0.000456,'Not Form'
0.184036,0.003289,1,0.022222,0.125,0.036418,0.004367,0.00048,'Not Form'
0.35212,0.001196,2,0.019048,0.105263,0.031417,0.006829,0.001148,'Not Form'
0.176586,0.000861,1,0.014493,0.037037,0.027853,0.003472,0.000518,'Not Form'
0.241363,0.003953,1,0.003953,1,0.00559,0.015873,0.009498,'Not Form'
0.166904,0.002597,1,0.012346,0.2,0.018328,0.0025,0.001248,'Not Form'
0.14429,0.020833,1,0.055556,0.333333,0.086874,0.000978,0.00027,'Not Form'
1.748771,0.001078,6,0.022305,0.272727,0.033413,0.275763,0.003665,'Not Form'
0.152382,0.000587,1,0.006536,0.083333,0.009924,0.001412,0.001075,'Not Form'
0.173081,0.009434,1,0.018519,0.5,0.026664,0.003096,0.000913,'Not Form'
0.14429,0.020833,1,0.055556,0.333333,0.086874,0.000978,0.000249,'Not Form'
0.14429,0.00625,1,0.04,0.1,0.074953,0.000978,0.000269,'Not Form'
0.15034,0.025641,1,0.025641,1,0.03625,0.001292,0.000889,'Not Form'
0.198025,0.000556,1,0.003279,0.166667,0.004713,0.00641,0.003226,'Not Form'
0.180721,0.027778,1,0.027778,1,0.039269,0.003953,0.002178,'Not Form'
0.14429,0.0625,1,0.111111,0.5,0.171499,0.000978,0.000228,'Not Form'
0.261189,0.008333,1,0.035714,0.2,0.057687,0.021739,0.001057,'Not Form'
0.176586,0.001263,1,0.004975,0.25,0.007141,0.003472,0.003179,'Not Form'
0.222785,0.002833,1,0.002833,1,0.004006,0.011236,0.011701,'Not Form'
0.167397,0.003704,1,0.003704,1,0.005238,0.002545,0.004527,'Not Form'
0.167397,0.016667,1,0.0625,0.2,0.108786,0.002545,0.000297,'Not Form'
0.176586,0.027778,1,0.052632,0.5,0.078087,0.003472,0.001594,'Not Form'
0.14429,0.026316,1,0.026316,1,0.037203,0.000978,0.000597,'Not Form'
0.175118,0.5,1,0.5,1,0.632456,0.003311,0.001107,'Not Form'
0.163508,0.001745,1,0.005181,0.333333,0.007403,0.002208,0.001339,'Not Form'
0.184333,0.005263,1,0.005263,1,0.007443,0.004405,0.007879,'Not Form'
0.337943,0.004587,2,0.018018,0.5,0.025931,0.005979,0.001766,'Not Form'
0.246279,0.000168,1,0.003425,0.045455,0.005201,0.017241,0.002764,'Not Form'
0.152382,0.25,1,0.25,1,0.342997,0.001412,0.000341,'Not Form'
0.197281,0.006944,1,0.034483,0.166667,0.057166,0.006289,0.00048,'Not Form'
0.23783,0.000619,1,0.009009,0.058824,0.014654,0.014925,0.000572,'Not Form'
0.194936,0.011905,1,0.011905,1,0.016835,0.005917,0.003896,'Not Form'
0.163926,0.083333,1,0.142857,0.5,0.223607,0.002242,0.00039,'Not Form'
0.175425,0.013889,1,0.047619,0.25,0.076696,0.003344,0.000464,'Not Form'
0.149823,0.011628,1,0.022727,0.5,0.032853,0.001263,0.000468,'Not Form'
0.348618,0.000913,2,0.00542,0.333333,0.007748,0.007744,0.003466,'Not Form'
0.327226,0.002463,2,0.028571,0.142857,0.047405,0.004434,0.000596,'Not Form'
0.330682,0.031746,2,0.090909,0.666667,0.133333,0.004731,0.000811,'Not Form'
0.193834,0.000916,1,0.010989,0.071429,0.017846,0.005747,0.000622,'Not Form'
0.300102,0.001359,1,0.010101,0.125,0.015314,0.035714,0.005943,'Not Form'
0.186037,0.1,1,0.166667,0.5,0.262613,0.00463,0.000906,'Not Form'
0.163568,0.333333,1,0.333333,1,0.447214,0.002212,0.000532,'Not Form'
0.202071,0.000558,1,0.011494,0.03125,0.021926,0.007092,0.000573,'Not Form'
0.15209,0.000351,1,0.009009,0.025641,0.017087,0.001395,0.000373,'Not Form'
0.186686,0.002825,1,0.008333,0.333333,0.011981,0.004717,0.002034,'Not Form'
0.164537,0.019231,1,0.0625,0.25,0.103975,0.002294,0.000391,'Not Form'
0.300102,0.007143,1,0.007143,1,0.010101,0.035714,0.040728,'Not Form'
