@relation 'SlashDot_Data-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,6,7,8,9,5-weka.filters.supervised.instance.SpreadSubsample-M10.0-X0.0-S1'

@attribute 'Adamic Adar' numeric
@attribute 'Association Strength' numeric
@attribute 'Common Neighbors' numeric
@attribute Jaccard numeric
@attribute 'Min Overlap' numeric
@attribute NMeasure numeric
@attribute 'Resource Allocation' numeric
@attribute 'Rooted PageRank' numeric
@attribute Labels {'Not Form',Form}

@data
0.133353,0.1,1,0.166667,0.5,0.262613,0.000554,0.000181,'Not Form'
0.133353,0.071429,1,0.125,0.5,0.194257,0.000554,0.000206,'Not Form'
0.133353,0.066667,1,0.066667,1,0.094072,0.000554,0.000262,'Not Form'
0.133353,0.005236,1,0.005236,1,0.007404,0.000554,0.002205,'Not Form'
0.133353,1,1,1,1,1,0.000554,0.000319,'Not Form'
0.221151,0.013158,1,0.025641,0.5,0.037165,0.01087,0.00426,'Not Form'
0.207112,0.02381,1,0.02381,1,0.033662,0.008,0.004765,'Not Form'
0.197527,0.016949,1,0.016949,1,0.023966,0.006329,0.00592,'Not Form'
0.207112,0.000831,1,0.010101,0.071429,0.016231,0.008,0.003053,'Not Form'
0.133353,0.5,1,0.5,1,0.632456,0.000554,0.000266,'Not Form'
0.643494,0.000327,3,0.014925,0.044776,0.02782,0.030205,0.002093,'Not Form'
0.133353,0.25,1,0.25,1,0.342997,0.000554,0.000239,'Not Form'
0.19136,0.016667,1,0.066667,0.166667,0.121268,0.005376,0.001127,'Not Form'
0.189098,0.00084,1,0.007813,0.1,0.011842,0.005051,0.002535,'Not Form'
0.219089,0.001667,1,0.016393,0.083333,0.027503,0.010417,0.001582,'Not Form'
0.133353,0.333333,1,0.333333,1,0.447214,0.000554,0.000239,'Not Form'
0.197527,0.025,1,0.025,1,0.035344,0.006329,0.003259,'Not Form'
0.133353,1,1,1,1,1,0.000554,0.000319,'Not Form'
0.133353,0.033333,1,0.083333,0.333333,0.135457,0.000554,0.000243,'Not Form'
0.133353,0.166667,1,0.25,0.5,0.392232,0.000554,0.000193,'Not Form'
0.133353,0.066667,1,0.066667,1,0.094072,0.000554,0.000265,'Not Form'
0.133353,1,1,1,1,1,0.000554,0.000319,'Not Form'
0.133353,0.041667,1,0.1,0.333333,0.165521,0.000554,0.000409,'Not Form'
0.242299,0.1,1,0.1,1,0.14072,0.016129,0.006058,'Not Form'
0.133353,1,1,1,1,1,0.000554,0.000319,'Not Form'
0.133353,1,1,1,1,1,0.000554,0.000319,'Not Form'
0.223347,1,1,1,1,1,0.011364,0.008176,'Not Form'
0.17874,1,1,1,1,1,0.003717,0.001814,'Not Form'
0.187864,0.041667,1,0.111111,0.25,0.196116,0.004878,0.001485,'Not Form'
0.133353,0.005682,1,0.021277,0.25,0.032009,0.000554,0.002273,'Not Form'
0.133353,0.5,1,0.5,1,0.632456,0.000554,0.000285,'Not Form'
0.191164,0.002083,1,0.006173,0.333333,0.008837,0.005348,0.001826,'Not Form'
0.178504,1,1,1,1,1,0.00369,0.002112,'Not Form'
0.133353,0.015152,1,0.015152,1,0.021425,0.000554,0.000953,'Not Form'
0.133353,0.002299,1,0.023256,0.066667,0.043315,0.000554,0.000409,'Not Form'
0.19136,0.001144,1,0.016667,0.043478,0.031838,0.005376,0.001932,'Not Form'
0.133353,0.333333,1,0.333333,1,0.447214,0.000554,0.000242,'Not Form'
0.133353,0.333333,1,0.333333,1,0.447214,0.000554,0.000262,'Not Form'
0.133353,1,1,1,1,1,0.000554,0.000319,'Not Form'
0.193194,0.166667,1,0.166667,1,0.232495,0.00565,0.00317,'Not Form'
0.133353,0.142857,1,0.142857,1,0.2,0.000554,0.000282,'Not Form'
0.133353,0.007353,1,0.014493,0.5,0.020788,0.000554,0.00059,'Not Form'
0.443884,0.032258,2,0.064516,1,0.09105,0.024168,0.003849,'Not Form'
0.197038,0.015385,1,0.058824,0.2,0.101535,0.00625,0.000736,'Not Form'
0.133353,0.076923,1,0.076923,1,0.108465,0.000554,0.000324,'Not Form'
0.133353,0.041667,1,0.076923,0.5,0.116248,0.000554,0.000282,'Not Form'
0.133353,0.5,1,0.5,1,0.632456,0.000554,0.000259,'Not Form'
0.133353,0.5,1,0.5,1,0.632456,0.000554,0.000254,'Not Form'
0.133353,0.045455,1,0.045455,1,0.064216,0.000554,0.000189,'Not Form'
0.133353,0.5,1,0.5,1,0.632456,0.000554,0.000285,'Not Form'
0.133353,0.25,1,0.25,1,0.342997,0.000554,0.000231,'Not Form'
0.209988,0.333333,1,0.333333,1,0.447214,0.008547,0.005846,'Not Form'
0.17874,0.333333,1,0.333333,1,0.447214,0.003717,0.001384,'Not Form'
0.133353,0.004444,1,0.034483,0.066667,0.066667,0.000554,0.000403,'Not Form'
0.214003,0.071429,1,0.071429,1,0.100759,0.009346,0.008147,'Not Form'
0.214434,0.166667,1,0.166667,1,0.232495,0.009434,0.004117,'Not Form'
0.133353,1,1,1,1,1,0.000554,0.000319,'Not Form'
0.197038,0.00198,1,0.009524,0.2,0.013985,0.00625,0.001664,'Not Form'
0.133353,0.010101,1,0.010101,1,0.014284,0.000554,0.001163,'Not Form'
0.19216,0.333333,1,0.333333,1,0.447214,0.005495,0.002535,'Not Form'
0.133353,0.125,1,0.2,0.5,0.316228,0.000554,0.000185,'Not Form'
0.205443,0.002252,1,0.006667,0.333333,0.009554,0.007692,0.004563,'Not Form'
0.133353,0.333333,1,0.333333,1,0.447214,0.000554,0.000243,'Not Form'
0.196084,0.0016,1,0.007752,0.2,0.011305,0.006098,0.001484,'Not Form'
0.230908,0.017857,1,0.034483,0.5,0.050379,0.013158,0.006899,'Not Form'
0.133353,0.25,1,0.25,1,0.342997,0.000554,0.000335,'Not Form'
0.133353,0.25,1,0.333333,0.5,0.5,0.000554,0.000217,'Not Form'
1.844292,0.007937,4,0.046512,0.666667,0.067172,0.458556,0.032904,'Not Form'
0.220105,0.333333,1,0.333333,1,0.447214,0.010638,0.005162,'Not Form'
0.236994,0.5,1,0.5,1,0.632456,0.014706,0.009606,'Not Form'
0.133353,0.000942,1,0.005495,0.166667,0.007985,0.000554,0.002019,'Not Form'
0.133353,0.05,1,0.125,0.25,0.220863,0.000554,0.00026,'Not Form'
0.314658,0.083333,1,0.166667,0.333333,0.282843,0.041667,0.011424,'Not Form'
0.133353,0.2,1,0.2,1,0.27735,0.000554,0.000286,'Not Form'
0.133353,0.033333,1,0.033333,1,0.047114,0.000554,0.000633,'Not Form'
0.133353,1,1,1,1,1,0.000554,0.000319,'Not Form'
0.15839,0.041667,1,0.041667,1,0.058874,0.001812,0.000906,'Not Form'
0.133353,0.5,1,0.5,1,0.632456,0.000554,0.000285,'Not Form'
0.378923,0.001838,1,0.013333,0.125,0.020655,0.071429,0.005016,'Not Form'
0.247338,0.111111,1,0.111111,1,0.156174,0.017544,0.007334,'Not Form'
0.133353,0.05,1,0.05,1,0.070622,0.000554,0.000195,'Not Form'
0.133353,0.333333,1,0.333333,1,0.447214,0.000554,0.000242,'Not Form'
0.133353,0.007143,1,0.03125,0.2,0.049721,0.000554,0.00057,'Not Form'
0.133353,0.004167,1,0.033333,0.066667,0.064483,0.000554,0.000148,'Not Form'
0.211533,0.029412,1,0.055556,0.5,0.082619,0.00885,0.001695,'Not Form'
0.133353,0.166667,1,0.25,0.5,0.392232,0.000554,0.000207,'Not Form'
0.133353,0.5,1,0.5,1,0.632456,0.000554,0.000263,'Not Form'
0.188036,0.004505,1,0.02381,0.166667,0.037729,0.004902,0.001509,'Not Form'
0.133353,0.333333,1,0.333333,1,0.447214,0.000554,0.000248,'Not Form'
0.187864,0.001025,1,0.013158,0.0625,0.022425,0.004878,0.001053,'Not Form'
0.133353,0.006494,1,0.012821,0.5,0.01836,0.000554,0.000844,'Not Form'
0.133353,0.015873,1,0.015873,1,0.022445,0.000554,0.001123,'Not Form'
0.256949,0.333333,1,0.333333,1,0.447214,0.020408,0.010723,'Not Form'
0.208516,0.5,1,0.5,1,0.632456,0.008264,0.004053,'Not Form'
0.249543,0.002941,1,0.013889,0.2,0.020741,0.018182,0.004844,'Not Form'
0.207112,0.2,1,0.2,1,0.27735,0.008,0.003489,'Not Form'
0.417032,0.010204,1,0.010204,1,0.01443,0.090909,0.035712,'Not Form'
0.478635,0.000622,2,0.012821,0.083333,0.020777,0.030679,0.003226,'Not Form'
0.133353,0.25,1,0.333333,0.5,0.5,0.000554,0.000187,'Not Form'
0.19879,0.000675,1,0.012195,0.038462,0.022573,0.006536,0.00132,'Not Form'
0.193194,0.009091,1,0.05,0.1,0.09513,0.00565,0.000825,'Not Form'
0.133353,0.05,1,0.05,1,0.070622,0.000554,0.000544,'Not Form'
0.133353,0.013699,1,0.013699,1,0.019371,0.000554,0.001229,'Not Form'
0.193194,0.25,1,0.333333,0.5,0.5,0.00565,0.001956,'Not Form'
0.223919,0.012048,1,0.012048,1,0.017037,0.011494,0.005674,'Not Form'
0.193194,0.009259,1,0.05,0.111111,0.094281,0.00565,0.001067,'Not Form'
0.133353,0.03125,1,0.090909,0.25,0.158114,0.000554,0.000118,'Not Form'
0.133353,1,1,1,1,1,0.000554,0.000319,'Not Form'
0.279055,0.004049,1,0.032258,0.076923,0.06143,0.027778,0.002131,'Not Form'
0.133353,1,1,1,1,1,0.000554,0.000319,'Not Form'
0.220105,0.035714,1,0.066667,0.5,0.1,0.010638,0.002638,'Not Form'
0.434294,0.002155,1,0.022727,0.0625,0.042698,0.1,0.003638,'Not Form'
